"SearchTerm";"Type";"Target";"Description"
"Activate";"Static";"Method";""
"Add";"Static";"Method";""
"AllocHGlobal";"Static";"Method";""
"BeginInvoke";"Static";"Method";""
"Clear";"Static";"Method";""
"Clear-Host";"Static";"Command";""
"close";"Static";"Method";""
"ComputeHash";"Static";"Method";""
"ContainsKey";"Static";"Method";""
"Copy";"Static";"Method";""
"Create";"Static";"Method";""
"CreateDefault";"Static";"Method";""
"CreateRunspace";"Static";"Method";""
"CreateRunspacePool";"Static";"Method";""
"CreateType";"Static";"Method";""
"DefineConstructor";"Static";"Method";""
"DefineDynamicAssembly";"Static";"Method";""
"DefineDynamicModule";"Static";"Method";""
"DefineEnum";"Static";"Method";""
"DefineField";"Static";"Method";""
"DefineLiteral";"Static";"Method";""
"DefineMethod";"Static";"Method";""
"DefineStatic";"Static";"Method";""
"DefineType";"Static";"Method";""
"Dispose";"Static";"Method";""
"EndInvoke";"Static";"Method";""
"Equals";"Static";"Method";""
"FindName";"Static";"Method";""
"Floor";"Static";"Method";""
"Focus";"Static";"Method";""
"FreeHGlobal";"Static";"Method";""
"FromBase64String";"Static";"Method";""
"Hide";"Static";"Method";""
"Invoke";"Static";"Method";""
"IsInRole";"Static";"Method";""
"IsKeyDown";"Static";"Method";""
"Join";"Static";"Method";""
"Load";"Static";"Method";""
"MakeByRefType";"Static";"Method";""
"NewRow";"Static";"Method";""
"Node";"Static";"Method";""
"Open";"Static";"Method";""
"PtrToStringAnsi";"Static";"Method";""
"PtrToStringUni";"Static";"Method";""
"PtrToStructure";"Static";"Method";""
"Read";"Static";"Method";""
"ReadAllBytes";"Static";"Method";""
"ReadByte";"Static";"Method";""
"Remove";"Static";"Method";""
"Replace";"Static";"Method";""
"Set-AuthenticodeSignature";"Static";"Command";""
"SetCustomAttribute";"Static";"Method";""
"SetImplementationFlags";"Static";"Method";""
"SetOffset";"Static";"Method";""
"Set-StatusBar";"Static";"Command";""
"Set-StrictMode";"Static";"Command";""
"SizeOf";"Static";"Method";""
"Sort";"Static";"Method";""
"Split";"Static";"Method";""
"Start-Sleep";"Static";"Command";""
"Start-Steroids";"Static";"Command";""
"StartsWith";"Static";"Method";""
"StringToHGlobalAnsi";"Static";"Method";""
"StringToHGlobalUni";"Static";"Method";""
"StructureToPtr";"Static";"Method";""
"ToInt64";"Static";"Method";""
"tolower";"Static";"Method";""
"ToString";"Static";"Method";""
"ToUpper";"Static";"Method";""
"WaitForConnection";"Static";"Method";""
"WaitForPipeDrain";"Static";"Method";""
"Write";"Static";"Method";""
"WriteByte";"Static";"Method";""
"WriteInt32";"Static";"Method";""
"ZeroFreeGlobalAllocUnicode";"Static";"Method";""
"*Decode*";"Like";"Method";""
"*Dialog";"Like";"Method";""
"*Encode*";"Like";"Method";""
"*Layout";"Like";"Method";""
"*Update*";"Like";"Method";""
"Add*";"Like";"Method";""
"add_*";"Like";"Method";""
"Append*";"Like";"Method";""
"Clone*";"Like";"Method";""
"Connect*";"Like";"Method";""
"Get*";"Like";"Method";""
"Get-*";"Like";"Command";""
"ipconfig*";"Like";"Command";""
"Item*";"Like";"Method";""
"ping*";"Like";"Command";""
"remove_*";"Like";"Method";""
"Resume*";"Like";"Method";""
"Select";"Like";"Method";""
"Show*";"Like";"Method";""
"Suspend*";"Like";"Method";""
"Update*";"Like";"Method";""
